RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.5 6.31 40.5 12.5197 11.5431 0.0999402
47.5 6.31 42.5 13.9775 12.7224 0.0999402
47.5 6.31 44.5 15.5155 13.9491 0.0999402
47.5 6.31 46.5 17.1337 15.2181 0.0999402
47.5 6.31 48.5 18.8321 16.5221 0.0999402
*******TSD2********
47.5 6.31 13.5 0.707797 1.3394 0.0999402
47.5 6.31 15.5 1.05149 1.7467 0.0999402
47.5 6.31 17.5 1.47519 2.2184 0.0999402
47.5 6.31 19.5 1.97893 2.7527 0.0999402
47.5 6.31 21.5 2.56274 3.3484 0.0999402
47.5 6.31 23.5 3.22665 4.003 0.0999402
47.5 6.31 25.5 3.97067 4.7143 0.0999402
47.5 6.31 27.5 4.79484 5.4805 0.0999402
47.5 6.31 29.5 5.69915 6.3004 0.0999402
47.5 6.31 31.5 6.68362 7.1733 0.0999402
47.5 6.31 33.5 7.74827 8.0998 0.0999402
47.5 6.31 35.5 8.8931 9.08 0.0999402
47.5 6.31 37.5 10.1181 10.1147 0.0999402
47.5 6.31 39.5 11.4233 11.2036 0.0999402
47.5 6.31 41.5 12.8087 12.3466 0.0999402
47.5 6.31 43.5 14.2744 13.5441 0.0999402
47.5 6.31 45.5 15.8202 14.7911 0.0999402
*******TSD3********
47.5 6.31 16.5 1.24014 2.1237 0.0999402
47.5 6.31 18.5 1.67166 2.6293 0.0999402
47.5 6.31 20.5 2.18317 3.1973 0.0999402
47.5 6.31 22.5 2.77471 3.8243 0.0999402
47.5 6.31 24.5 3.44631 4.5094 0.0999402
47.5 6.31 26.5 4.19802 5.2506 0.0999402
47.5 6.31 28.5 5.02986 6.0465 0.0999402
47.5 6.31 30.5 5.94185 6.8963 0.0999402
47.5 6.31 32.5 6.93401 7.7988 0.0999402
47.5 6.31 34.5 8.00636 8.7546 0.0999402
47.5 6.31 36.5 9.1589 9.7638 0.0999402
47.5 6.31 38.5 10.3917 10.8268 0.0999402
47.5 6.31 40.5 11.7046 11.9392 0.0999402
47.5 6.31 42.5 13.0978 13.0861 0.0999402
*******TSD4********
47.5 6.31 23.5 4.07299 4.58 0.0999402
47.5 6.31 25.5 4.83568 5.2251 0.0999402
